filename,notes,authors,licenses,urls
body/bodies/male/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
hair/jewfro/adult/light_brown.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles,https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24"
hat/helmet/barbarian/adult/steel.png,"","bluecarrot16","CC-BY 3.0,CC-BY 4.0,OGA-BY 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-helmets,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
torso/armour/plate/male/steel.png,"original by wulax, recolor by bigbeargames, color reduced to 7 colors and adapted to v3 bases by bluecarrot16, run/jump/sit/climb/revised combat by JaidynReiman","JaidynReiman, bluecarrot16, Michael Whitlock (bigbeargames), Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-combat-armor-for-women"
legs/cuffed/male/black.png,"Original bases by Redshrike, thrust/shoot bases by Wulax, original overalls by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, pants by JaidynReiman","JaidynReiman,ElizaWy,Bluecarrot16,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-pants"
feet/boots/basic/male/black.png,"original by Nila122, edited for male and v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman","JaidynReiman,bluecarrot16,Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair,https://opengameart.org/content/lpc-expanded-socks-shoes"
feet/accessory/plate_toe/male/steel.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/ranged/bow/great/universal/background/medium.png,"modified by daneeklu, from **normal** bow by wulax; walk animations by pvigier; split into layers and tweaked for v3 character bases by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax),Pierre Vigier (pvigier)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-walk-animations-for-bows"
weapon/ranged/bow/great/universal/foreground/medium.png,"modified by daneeklu, from **normal** bow by wulax; walk animations by pvigier; split into layers and tweaked for v3 character bases by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax),Pierre Vigier (pvigier)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-walk-animations-for-bows"
weapon/ranged/bow/great/walk/background/medium.png,"modified by daneeklu, from **normal** bow by wulax; walk animations by pvigier; split into layers and tweaked for v3 character bases by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax),Pierre Vigier (pvigier)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-walk-animations-for-bows"
weapon/ranged/bow/great/walk/foreground/medium.png,"modified by daneeklu, from **normal** bow by wulax; walk animations by pvigier; split into layers and tweaked for v3 character bases by bluecarrot16","Daniel Eddeland (daneeklu),gr3yh47,Johannes Sjölund (wulax),Pierre Vigier (pvigier)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident,https://opengameart.org/content/lpc-walk-animations-for-bows"
